studio_id,media_id,is_main
18,21,True
102,21,False
169,21,False
2524,21,False
416,21,False
142,21,False
207,21,False
68,21,False
6291,21,False
406,21,False
6429,21,False
18,21880,True
18,21335,True
18,21831,True
18,105143,True
18,5252,True
7229,167404,True
18,3848,True
769,3848,False
18,2107,True
102,2107,False
769,2107,False
18,106572,True
18,465,True
769,465,False
18,464,False
169,464,False
769,464,False
18,463,False
18,462,False
769,462,False
18,461,False
769,461,False
18,2386,False
18,460,True
769,460,False
18,2385,False
18,459,True
18,4155,True
102,4155,False
18,8740,False
18,9999,True
18,12859,True
18,16468,False
892,16468,False
18,16239,False
10,466,True
18,101918,True
18,6033,True
102,6033,False
18,813,True
102,813,False
169,813,False
18,896,True
102,896,False
18,897,True
102,897,False
18,898,True
102,898,False
18,899,True
102,899,False
18,502,True
102,502,False
6570,502,False
6771,502,False
18,891,True
102,891,False
18,892,True
102,892,False
18,2222,True
18,8546,True
467,8546,False
18,8547,True
467,8547,False
18,8548,True
18,7816,True
18,6028,True
467,6028,False
18,1050,True
52,1050,False
53,1050,False
55,1050,False
119,1050,False
467,1050,False
456,21170,True
456,97985,True
456,21864,True
456,20755,True
102,20755,False
6868,20755,False
456,101102,True
7,104580,True
6127,104580,True
7,112625,True
6127,112625,True
7,98034,True
6127,98034,True
7,21804,True
6127,21804,True
14,918,True
16,918,False
17,918,False
53,918,False
643,918,False
645,918,False
763,918,False
14,6945,False
6116,99714,True
17,99714,False
6116,100784,True
17,100784,False
6116,101925,True
17,101925,False
6116,126819,True
6116,114129,True
6570,114129,False
17,114129,False
415,114129,False
53,114129,False
16,114129,False
6116,97889,True
17,97889,False
6116,20996,True
17,20996,False
14,15335,True
16,15335,False
17,15335,False
53,15335,False
230,15335,False
14,15417,True
16,15417,False
17,15417,False
53,15417,False
6570,15417,False
14,9969,True
16,9969,False
17,9969,False
53,9969,False
643,9969,False
763,9969,False
829,9969,False
16,9863,False
52,9863,False
53,9863,False
103,9863,True
103,16395,False
27,5667,True
27,9181,True
31,9181,False
145,9181,False
306,9181,False
376,9181,False
753,9181,False
27,13663,True
31,13663,False
6570,13663,False
376,13663,False
27,20995,True
306,20995,False
376,20995,False
27,21852,True
306,21852,False
27,21853,True
27,100659,True
3,68,True
42,68,False
53,68,False
102,68,False
145,68,False
3,2589,True
42,2589,False
27,13851,True
27,3455,True
145,3455,False
376,3455,False
17,142849,False
6570,142849,False
957,142849,True
76,142849,False
6616,142849,False
7157,142849,False
6605,142849,False
48,7590,True
48,8599,False
7,12365,True
250,12365,False
7,102608,True
7,10030,True
111,10030,False
250,10030,False
7,102609,True
7,7674,True
111,7674,False
250,7674,False
317,7674,False
595,7674,False
7,15711,False
111,15711,False
8,15,False
36,15,True
139,15,False
205,15,False
376,15,False
717,15,False
6910,15,False
36,6418,False
23,1317,False
10,1317,True
8,1604,True
53,1604,False
82,1604,False
144,1604,False
164,1604,False
467,1604,False
1,21677,True
8,8532,True
8,9023,True
103,16718,False
103,10775,False
6116,169000,False
14,20760,True
14,20882,True
6116,21588,True
14,21501,True
14,2951,False
645,2951,False
763,2951,False
14,7472,True
16,7472,False
17,7472,False
53,7472,False
230,7472,False
376,7472,False
415,7472,False
14,9735,False
7,114043,True
104,114043,False
376,114043,False
7,109963,True
7,100773,True
376,100773,False
7,101924,True
7,99255,True
104,99255,False
376,99255,False
7,21518,True
777,21518,False
53,21518,False
143,21518,False
6570,21518,False
415,21518,False
376,21518,False
7,20923,True
53,20923,False
376,20923,False
143,20923,False
415,20923,False
460,20923,False
6570,20923,False
777,20923,False
7,21691,True
7,98702,True
44,20728,True
143,20728,False
17,20728,False
17,18897,False
44,18897,True
143,18897,False
44,20876,True
44,119947,True
44,106495,True
17,5081,False
44,5081,True
159,5081,False
493,5081,False
6548,5081,False
44,15689,True
493,15689,False
159,15689,False
44,21400,True
245,21400,False
17,21400,False
159,21400,False
17,9260,False
44,9260,True
159,9260,False
245,9260,False
44,21399,True
159,21399,False
17,21399,False
245,21399,False
44,143663,True
44,17074,True
159,17074,False
493,17074,False
44,20593,True
17,20593,False
159,20593,False
44,100815,True
17,100815,False
159,100815,False
44,21745,True
159,21745,False
17,21745,False
17,6594,False
104,6594,False
159,6594,False
166,6594,False
169,6594,False
314,6594,True
372,6594,False
44,21803,True
159,21803,False
17,21803,False
44,113428,True
159,113428,False
17,113428,False
493,113428,False
44,99678,True
44,20918,True
159,20918,False
17,20918,False
44,21262,True
17,21262,False
159,21262,False
44,21520,True
17,11597,False
44,11597,True
159,11597,False
211,11597,False
493,11597,False
6548,11597,False
44,104434,True
10,20992,True
376,20992,False
10,21698,True
376,21698,False
10,98885,True
10,98884,True
10,21244,True
10,21120,True
10,20464,True
376,20464,False
10,20884,True
10,107263,True
6402,107263,False
10,111790,True
10,106625,True
10,113538,True
211,113538,False
245,153658,False
6570,153658,False
10,153658,True
10,107351,True
10,21348,True
11,20946,True
6570,20946,False
29,20946,False
6620,20946,False
376,20946,False
6454,20946,False
10,20900,True
245,20900,False
757,20900,False
6684,20900,False
6570,20900,False
143,20900,False
6616,20900,False
6676,20900,False
166,20900,False
777,20900,False
10,20596,True
757,20596,False
245,20596,False
6616,20596,False
6676,20596,False
6570,20596,False
143,20596,False
166,20596,False
777,20596,False
6684,20596,False
10,20837,True
18,114087,True
55,114087,False
18,127400,True
55,127400,False
18,20729,True
55,20729,False
6116,162890,True
6116,111952,True
14,111952,False
6248,111952,False
101,21288,True
539,21288,False
6185,21288,False
6077,101926,True
839,87499,True
539,87499,False
415,87499,False
6185,87499,False
957,98095,False
539,98095,False
101,98094,True
539,98094,False
6185,98094,False
101,98096,True
539,98096,False
6185,98096,False
6248,107908,False
6728,107908,True
103,3008,True
103,4578,True
103,5344,True
103,3915,True
16,5475,False
103,5475,True
675,5475,False
103,6889,True
103,8553,True
169,8553,False
103,8011,True
103,145358,True
103,11873,False
103,1445,True
102,1445,False
103,4905,False
16,3571,False
103,3571,True
675,3571,False
103,5287,False
103,4808,False
103,3398,True
205,3398,False
323,3398,False
467,3398,False
103,4810,True
376,4810,False
11,4981,True
102,4981,False
103,4981,False
777,4981,False
72,1598,True
103,1598,False
122,1598,False
467,1598,False
6,1598,False
103,2574,False
103,6989,True
103,1458,False
64,1459,False
103,1459,True
250,1459,False
829,1459,False
92,1460,False
103,1460,True
467,1460,False
103,307,False
103,3858,True
230,3858,False
103,8139,True
103,8140,False
103,8141,False
795,8141,False
97,2389,False
103,2389,True
376,2389,False
103,6374,False
6375,6375,False
103,3153,False
255,3153,False
741,3153,False
103,3154,True
323,3154,False
8,3154,False
72,3154,False
376,3154,False
6517,121714,True
103,18229,True
29,18229,False
103,21252,True
103,20487,True
29,20759,False
103,20759,True
103,15957,True
103,7551,True
103,4154,True
103,21755,True
103,98521,True
103,20922,True
103,3295,True
327,3295,False
103,6693,False
327,6693,False
103,2892,False
103,114402,True
22,114402,True
76,114402,False
6517,121717,True
6159,98069,True
6185,98069,False
537,98069,False
6159,100262,True
6078,100262,False
6185,100262,False
298,100262,False
839,98846,True
6185,98846,False
839,98791,True
6185,98791,False
6248,136143,False
104,136143,False
14,136143,False
6698,136143,False
14,21584,True
104,21584,False
104,130307,False
104,132234,False
14,98349,True
14,100965,True
14,151513,True
7137,151513,False
7138,151513,False
6698,151513,False
775,151513,False
6249,151513,False
7443,166381,True
306,166381,False
7444,166381,False
4418,101280,True
102,101280,False
104,101280,False
6116,101280,False
4418,116741,True
159,116741,False
6616,116741,False
6331,116741,False
104,116741,False
6758,116741,False
6571,116741,False
6604,116741,False
6819,116741,False
4418,116742,True
6604,116742,False
6331,116742,False
6819,116742,False
6758,116742,False
6571,116742,False
159,116742,False
6616,116742,False
4418,139498,True
6331,139498,False
7137,139498,False
159,156822,False
4418,108511,True
102,108511,False
159,108511,False
6616,108511,False
6571,108511,False
6758,108511,False
6331,108511,False
6604,108511,False
6819,108511,False
4418,161802,True
23,1003,False
48,1003,True
250,1003,False
595,1003,False
23,50,False
48,50,True
145,50,False
250,50,False
595,50,False
23,303,False
28,303,True
31,303,False
48,880,True
102,880,False
145,880,False
159,880,False
48,2198,True
102,2198,False
48,3090,True
145,3090,False
48,9611,True
159,9611,False
23,9611,False
23,49,False
50,49,False
159,49,False
310,49,False
48,49,True
23,304,False
31,304,False
48,304,True
144,304,False
159,304,False
166,304,False
167,304,False
276,10541,True
276,11609,True
4418,106509,True
6604,146503,False
104,146503,False
4418,146503,True
6417,127225,True
6417,124668,True
6288,115740,True
104,115740,False
517,115740,False
141,115740,False
102,115740,False
513,115740,False
843,115740,False
547,115740,False
6331,115740,False
6288,135102,True
141,135102,False
547,135102,False
7141,135102,False
6421,135102,False
517,135102,False
7138,135102,False
6739,135102,False
460,135102,False
6995,135102,False
6259,135102,False
513,135102,False
843,135102,False
6417,158983,True
6417,127213,True
112,107201,True
139,107201,False
6755,107201,False
6202,107201,False
6421,107201,False
112,126529,True
205,126529,False
6421,126529,False
6202,126529,False
159,126529,False
7312,126529,False
6679,126529,False
460,126529,False
7360,126529,False
6417,152005,True
6417,113828,True
6417,122238,False
6067,108450,True
6218,111501,True
6584,111501,False
6417,116328,True
11,10800,True
29,10800,False
